mouse_id,group,dt,experimental_day,time_sinse_start,drink,eat,eathand,groom,hang,rear,rest,sniff,walk
1a47565db6a51fa30972a6c4daa596,A,2018-08-07 15:00:00,0,0 days 06:00:00.000000000,66,5498,7026,22284,727,454,59078,12611,96
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-07 15:00:00,0,0 days 06:00:00.000000000,0,0,1112,485,0,9,102148,4086,0
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-07 15:00:00,0,0 days 06:00:00.000000000,717,9378,1189,20477,3476,4154,45158,22638,653
ef14073df447232d768224845a28e4,A,2018-08-07 15:00:00,0,0 days 06:00:00.000000000,4,4254,5041,40180,0,222,51421,6703,15
c02ab2a7036e2d1f84854afd245f80,A,2018-08-07 15:00:00,0,0 days 06:00:00.000000000,124,9690,2026,9031,945,509,79363,5912,240
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-07 15:00:00,0,0 days 06:00:00.000000000,86,6910,764,21230,451,2071,66695,9308,325
1a47565db6a51fa30972a6c4daa596,A,2018-08-07 16:00:00,0,0 days 07:00:00.000000000,2,3940,1246,15092,0,514,80022,7020,4
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-07 16:00:00,0,0 days 07:00:00.000000000,519,8782,8325,24544,10874,2884,31228,20251,433
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-07 16:00:00,0,0 days 07:00:00.000000000,196,9264,1327,18510,712,880,64576,12195,180
ef14073df447232d768224845a28e4,A,2018-08-07 16:00:00,0,0 days 07:00:00.000000000,88,11740,2707,20665,108,504,59425,12537,66
c02ab2a7036e2d1f84854afd245f80,A,2018-08-07 16:00:00,0,0 days 07:00:00.000000000,1793,12095,6077,23805,3191,3122,32280,24577,900
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-07 16:00:00,0,0 days 07:00:00.000000000,0,0,0,3576,0,0,103586,678,0
1a47565db6a51fa30972a6c4daa596,A,2018-08-07 17:00:00,0,0 days 08:00:00.000000000,,,,,,,,,
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-07 17:00:00,0,0 days 08:00:00.000000000,,,,,,,,,
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-07 17:00:00,0,0 days 08:00:00.000000000,,,,,,,,,
ef14073df447232d768224845a28e4,A,2018-08-07 17:00:00,0,0 days 08:00:00.000000000,,,,,,,,,
c02ab2a7036e2d1f84854afd245f80,A,2018-08-07 17:00:00,0,0 days 08:00:00.000000000,,,,,,,,,
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-07 17:00:00,0,0 days 08:00:00.000000000,,,,,,,,,
1a47565db6a51fa30972a6c4daa596,A,2018-08-07 18:00:00,0,0 days 09:00:00.000000000,,,,,,,,,
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-07 18:00:00,0,0 days 09:00:00.000000000,,,,,,,,,
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-07 18:00:00,0,0 days 09:00:00.000000000,,,,,,,,,
ef14073df447232d768224845a28e4,A,2018-08-07 18:00:00,0,0 days 09:00:00.000000000,,,,,,,,,
c02ab2a7036e2d1f84854afd245f80,A,2018-08-07 18:00:00,0,0 days 09:00:00.000000000,,,,,,,,,
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-07 18:00:00,0,0 days 09:00:00.000000000,,,,,,,,,
1a47565db6a51fa30972a6c4daa596,A,2018-08-07 19:00:00,0,0 days 10:00:00.000000000,,,,,,,,,
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-07 19:00:00,0,0 days 10:00:00.000000000,,,,,,,,,
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-07 19:00:00,0,0 days 10:00:00.000000000,,,,,,,,,
ef14073df447232d768224845a28e4,A,2018-08-07 19:00:00,0,0 days 10:00:00.000000000,,,,,,,,,
c02ab2a7036e2d1f84854afd245f80,A,2018-08-07 19:00:00,0,0 days 10:00:00.000000000,,,,,,,,,
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-07 19:00:00,0,0 days 10:00:00.000000000,,,,,,,,,
1a47565db6a51fa30972a6c4daa596,A,2018-08-07 20:00:00,0,0 days 11:00:00.000000000,506,20332,7358,5887,17189,3200,37670,13865,1833
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-07 20:00:00,0,0 days 11:00:00.000000000,1337,15743,1182,11142,42118,9640,7238,16570,2870
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-07 20:00:00,0,0 days 11:00:00.000000000,2116,24271,1218,13716,30633,9111,7631,13785,5359
ef14073df447232d768224845a28e4,A,2018-08-07 20:00:00,0,0 days 11:00:00.000000000,1277,18936,3669,14965,23526,6111,8310,28836,2210
c02ab2a7036e2d1f84854afd245f80,A,2018-08-07 20:00:00,0,0 days 11:00:00.000000000,2689,31964,4356,6781,17091,10055,7245,25318,2341
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-07 20:00:00,0,0 days 11:00:00.000000000,710,44130,3971,7313,23223,4596,3951,17127,2819
1a47565db6a51fa30972a6c4daa596,A,2018-08-07 21:00:00,0,0 days 12:00:00.000000000,940,9387,1947,7401,24348,3949,13484,43102,3282
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-07 21:00:00,0,0 days 12:00:00.000000000,1380,14681,468,12966,42328,7908,2079,23864,2166
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-07 21:00:00,0,0 days 12:00:00.000000000,3219,19983,3201,13518,31430,7877,3667,19192,5753
ef14073df447232d768224845a28e4,A,2018-08-07 21:00:00,0,0 days 12:00:00.000000000,452,16909,3385,5771,16009,3265,816,57677,3556
c02ab2a7036e2d1f84854afd245f80,A,2018-08-07 21:00:00,0,0 days 12:00:00.000000000,2591,15040,2529,5815,15069,9570,161,55015,2050
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-07 21:00:00,0,0 days 12:00:00.000000000,1073,38867,1942,8847,23380,3929,4184,23458,2160
1a47565db6a51fa30972a6c4daa596,A,2018-08-07 22:00:00,0,0 days 13:00:00.000000000,532,2532,705,7867,7863,2967,2099,76752,6523
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-07 22:00:00,0,0 days 13:00:00.000000000,1271,14111,3036,3979,27920,6716,2214,46400,2193
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-07 22:00:00,0,0 days 13:00:00.000000000,2897,21352,1360,16586,25919,8116,7810,18521,5279
ef14073df447232d768224845a28e4,A,2018-08-07 22:00:00,0,0 days 13:00:00.000000000,1699,12227,1584,16031,17119,3006,908,52770,2496
c02ab2a7036e2d1f84854afd245f80,A,2018-08-07 22:00:00,0,0 days 13:00:00.000000000,1307,15402,3496,5032,19582,7568,201,53683,1569
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-07 22:00:00,0,0 days 13:00:00.000000000,409,21782,2765,15836,18826,2645,7680,36284,1613
1a47565db6a51fa30972a6c4daa596,A,2018-08-07 23:00:00,0,0 days 14:00:00.000000000,936,11824,4227,8447,5598,2500,26981,45154,2173
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-07 23:00:00,0,0 days 14:00:00.000000000,1820,14884,1809,6335,30591,6955,1916,41313,2217
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-07 23:00:00,0,0 days 14:00:00.000000000,1214,6776,226,20062,6660,2515,57159,11910,1318
ef14073df447232d768224845a28e4,A,2018-08-07 23:00:00,0,0 days 14:00:00.000000000,460,8564,2014,7464,9744,3059,3847,68592,4096
c02ab2a7036e2d1f84854afd245f80,A,2018-08-07 23:00:00,0,0 days 14:00:00.000000000,913,7462,3177,9834,6864,4964,13058,60863,705
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-07 23:00:00,0,0 days 14:00:00.000000000,6,31,80,5670,0,15,100233,1766,39
